OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_ALTITUDE
130.0,1983.0
136.9,1699.0
130.6,1874.0
121.0,2270.0
141.0,1497.0
127.4,1869.0
139.5,1468.0
133.0,1582.0
129.7,1598.0
131.3,1511.0
132.3,1453.0
126.8,1556.0
123.6,1617.0
0.0,0.0
127.9,1413.0
120.8,1514.0
117.7,1575.0
120.6,1397.0
111.4,1677.0
113.3,1517.0
99.2,2110.0
103.9,1484.0
103.3,1442.0
0.0,0.0
91.5,2087.0
94.4,1644.0
96.4,1419.0
94.1,1458.0
63.5,1513.0
62.3,1406.0
0.0,0.0
0.0,0.0
100.4,1969.0
98.2,1306.0
100.0,1335.0
104.6,1738.0
105.8,2578.0
107.0,1846.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
133.0,1468.0
0.0,0.0
132.3,1831.0
139.5,1527.0
0.0,0.0
143.6,1526.0
0.0,0.0
146.3,1482.0
138.0,1831.0
118.1,1397.0
112.7,1464.0
115.7,1215.0
105.0,1715.0
104.9,1128.0
92.3,1864.0
96.2,1359.0
96.0,1282.0
91.6,1302.0
88.9,1297.0
75.9,1515.0
78.4,1072.0
76.8,1073.0
74.3,1092.0
40.2,1306.0
10.8,1052.0
0.0,0.0
80.2,1116.0
81.8,975.0
83.5,982.0
91.8,1443.0
90.3,1136.0
90.8,1065.0
93.0,1126.0
96.8,1463.0
100.8,1629.0
0.0,0.0
103.9,1511.0
109.8,931.0
113.5,1269.0
114.2,1923.0
116.8,1604.0
116.7,1779.0
119.3,1523.0
123.5,1489.0
131.1,983.0
122.9,1798.0
137.1,959.0
132.6,1308.0
128.3,1641.0
129.0,1634.0
0.0,0.0
130.0,1647.0
137.5,1315.0
141.8,1167.0
138.6,1322.0
138.5,1353.0
143.1,1199.0
142.3,1249.0
141.3,1301.0
135.1,1570.0
113.8,2815.0
119.3,2363.0
150.2,1097.0
125.0,1975.0
126.6,1878.0
115.1,2521.0
128.8,1732.0
155.2,978.0
114.6,2465.0
128.9,1659.0
122.1,1957.0
118.3,2136.0
139.2,1228.0
121.9,1871.0
121.5,1856.0
130.5,1429.0
127.3,1524.0
121.0,1772.0
139.7,1063.0
133.2,1212.0
134.6,1137.0
116.3,1814.0
114.8,1850.0
119.6,1548.0
129.5,1112.0
127.6,1136.0
128.8,1060.0
125.2,1091.0
109.2,1820.0
119.1,1236.0
0.0,0.0
126.5,890.0
123.7,925.0
111.1,1407.0
0.0,0.0
119.0,940.0
90.8,2949.0
103.2,1653.0
109.1,1200.0
106.7,1269.0
0.0,0.0
117.6,765.0
0.0,0.0
108.2,924.0
95.2,1758.0
106.2,787.0
0.0,0.0
92.0,1458.0
0.0,0.0
91.9,997.0
88.9,1032.0
86.3,901.0
0.0,0.0
83.1,940.0
84.2,770.0
0.0,0.0
76.6,1187.0
0.0,0.0
73.4,789.0
0.0,0.0
66.5,1334.0
64.8,1148.0
61.5,837.0
57.2,829.0
48.4,766.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
84.3,1185.0
0.0,0.0
83.1,813.0
0.0,0.0
87.5,940.0
0.0,0.0
88.8,833.0
0.0,0.0
94.7,1062.0
0.0,0.0
99.1,1516.0
100.3,1253.0
0.0,0.0
103.7,1388.0
0.0,0.0
105.6,1349.0
107.7,1004.0
0.0,0.0
110.0,1075.0
111.2,1052.0
114.0,765.0
