INBOUND_SOLAR_ZENITH_ANGLE,INBOUND_ALTITUDE
151.6,2108.0
151.4,2134.0
134.9,2725.0
134.8,2755.0
139.5,2573.0
0.0,0.0
148.5,2290.0
138.7,2657.0
149.5,2279.0
132.8,2973.0
152.7,2200.0
141.3,2586.0
145.9,2409.0
149.6,2283.0
152.9,2179.0
160.4,2054.0
157.4,2100.0
159.6,1969.0
145.5,2370.0
137.4,2730.0
139.4,2610.0
141.0,2505.0
154.0,1941.0
142.1,2384.0
146.3,2149.0
140.1,2413.0
136.7,2568.0
134.5,2662.0
134.0,2646.0
139.8,2198.0
132.9,2609.0
133.3,2511.0
133.1,2451.0
126.4,2978.0
132.1,2354.0
130.5,2030.0
131.0,2217.0
130.3,2141.0
129.6,2040.0
125.1,2099.0
116.9,1913.0
34.5,2007.0
0.0,0.0
0.0,0.0
123.2,2356.0
0.0,0.0
163.1,2423.0
0.0,0.0
0.0,0.0
151.7,2772.0
150.2,2834.0
167.0,2408.0
143.8,3122.0
148.9,2904.0
157.0,2622.0
164.5,2405.0
152.8,2694.0
155.8,2556.0
146.2,2937.0
159.0,2301.0
154.6,2483.0
148.6,2668.0
141.5,2922.0
139.5,3000.0
135.2,3275.0
139.5,2859.0
139.2,2797.0
136.8,2910.0
136.4,2843.0
135.1,2580.0
140.9,2591.0
151.3,2315.0
142.5,2909.0
165.9,2313.0
156.0,2535.0
152.9,2653.0
152.1,2764.0
145.2,3069.0
144.0,3154.0
157.9,2622.0
160.1,2557.0
0.0,0.0
140.5,3356.0
139.5,3413.0
139.5,3402.0
147.3,2935.0
143.9,3067.0
150.0,2699.0
140.0,3243.0
149.7,2546.0
137.9,3261.0
149.2,2382.0
141.4,2880.0
140.7,2854.0
0.0,0.0
137.5,2955.0
138.5,2754.0
132.1,3291.0
134.4,2935.0
94.1,3332.0
136.0,2884.0
136.4,2925.0
0.0,0.0
146.4,2578.0
0.0,0.0
136.6,3220.0
137.5,3211.0
130.6,3678.0
149.6,2730.0
156.8,2525.0
139.0,3278.0
154.8,2631.0
166.0,2381.0
137.8,3453.0
140.8,3303.0
155.9,2662.0
139.6,3402.0
155.3,2687.0
167.3,2353.0
133.1,3855.0
140.4,3380.0
143.2,3203.0
139.9,3391.0
161.4,2225.0
147.1,2904.0
157.1,2362.0
150.1,2667.0
153.7,2297.0
142.6,2962.0
149.3,2202.0
141.9,2806.0
140.1,2868.0
142.5,2557.0
0.0,0.0
0.0,0.0
139.8,2375.0
0.0,0.0
135.5,2596.0
116.4,3020.0
123.8,2568.0
0.0,0.0
135.2,2145.0
131.7,2362.0
128.8,2684.0
127.0,2880.0
128.8,2843.0
140.3,2314.0
138.9,2439.0
144.5,2326.0
143.2,2434.0
144.6,2430.0
154.6,2152.0
138.7,2811.0
147.9,2503.0
148.5,2522.0
144.6,2725.0
159.3,2294.0
139.9,3077.0
155.5,2460.0
163.3,2280.0
137.0,3348.0
143.2,3040.0
158.0,2474.0
138.9,3347.0
143.2,3122.0
152.5,2707.0
139.1,3382.0
146.4,2987.0
146.0,3010.0
152.1,2726.0
152.2,2710.0
163.1,2295.0
159.3,2396.0
142.4,3137.0
139.9,3247.0
149.0,2632.0
140.6,3123.0
133.8,3617.0
146.8,2583.0
147.5,2456.0
144.6,2586.0
134.8,3331.0
125.6,4225.0
135.0,3161.0
137.4,2830.0
138.9,2552.0
137.4,2581.0
137.3,2398.0
136.2,2336.0
128.6,3267.0
129.5,2820.0
127.2,2999.0
125.7,3071.0
123.3,2818.0
121.1,2704.0
117.2,2410.0
112.3,2236.0
28.1,1999.0
56.9,1951.0
58.5,1949.0
60.1,1947.0
61.7,1945.0
63.3,1943.0
64.9,1942.0
125.1,2110.0
133.4,2023.0
135.9,2119.0
141.6,1968.0
132.6,2442.0
0.0,0.0
0.0,0.0
0.0,0.0
140.5,2442.0
148.4,2221.0
141.0,2593.0
140.8,2657.0
141.4,2676.0
127.3,3606.0
167.4,1958.0
0.0,0.0
142.0,2902.0
154.7,2391.0
143.8,2874.0
147.4,2728.0
141.2,3066.0
126.2,4274.0
134.2,3644.0
144.4,2978.0
119.5,5053.0
128.1,4161.0
135.7,3511.0
140.8,3127.0
146.8,2676.0
146.7,2632.0
144.5,2724.0
143.5,2739.0
139.4,2990.0
142.5,2684.0
143.4,2439.0
138.6,2769.0
134.8,2956.0
139.5,2301.0
136.9,2472.0
137.4,2189.0
134.4,1881.0
131.5,2522.0
125.6,3290.0
129.0,2504.0
125.6,2941.0
123.8,3079.0
110.3,5986.0
117.9,3488.0
118.3,2438.0
113.4,2071.0
0.0,0.0
99.3,1768.0
102.9,1953.0
109.3,2623.0
116.6,2105.0
118.8,2052.0
111.1,2968.0
118.1,2440.0
118.0,2668.0
122.5,2412.0
129.4,2054.0
135.5,1830.0
139.0,1763.0
137.5,1885.0
122.3,2909.0
126.8,2660.0
136.4,2299.0
128.4,2942.0
130.7,2849.0
140.5,2344.0
128.3,3152.0
130.5,3060.0
134.1,2936.0
132.6,3092.0
149.8,2233.0
134.0,3099.0
138.8,2847.0
141.1,2757.0
150.1,2367.0
139.5,2919.0
136.2,3157.0
155.1,2252.0
150.2,2464.0
143.9,2782.0
141.4,2942.0
161.2,2107.0
160.2,2136.0
149.8,2543.0
0.0,0.0
142.3,2942.0
0.0,0.0
134.2,3493.0
123.7,4457.0
125.5,4274.0
143.1,2826.0
130.7,3760.0
146.8,2537.0
134.5,3389.0
142.0,2770.0
142.7,2674.0
140.6,2774.0
133.2,3362.0
138.8,2808.0
133.5,3224.0
129.2,3614.0
129.9,3477.0
132.3,3131.0
139.6,2075.0
130.8,3030.0
131.3,2332.0
125.5,3121.0
120.2,3789.0
121.3,3185.0
0.0,0.0
117.4,3677.0
121.0,1963.0
116.1,3559.0
117.9,1948.0
0.0,0.0
98.0,1943.0
124.9,2334.0
134.5,1820.0
131.6,2066.0
134.3,2065.0
135.0,2316.0
116.8,3818.0
132.2,2621.0
140.5,2204.0
139.6,2305.0
134.4,2666.0
139.7,2411.0
136.3,2655.0
141.5,2409.0
141.0,2480.0
153.9,1946.0
164.8,1651.0
141.6,2565.0
141.3,2615.0
138.7,2801.0
136.7,2955.0
135.8,3041.0
153.9,2117.0
139.5,2851.0
142.9,2667.0
158.3,1980.0
145.1,2565.0
135.6,3170.0
137.6,3042.0
140.0,2876.0
138.8,2954.0
129.1,3727.0
135.9,3149.0
131.5,3501.0
120.9,4594.0
138.3,2899.0
133.8,3242.0
147.0,2209.0
136.9,2907.0
131.5,3359.0
144.9,2156.0
131.3,3294.0
140.7,2347.0
143.6,1985.0
140.9,1999.0
141.9,1563.0
140.1,1514.0
133.9,2421.0
131.5,2590.0
135.1,1476.0
133.9,1505.0
129.8,2136.0
124.7,2886.0
125.1,2341.0
119.3,3416.0
119.9,1376.0
117.4,2421.0
113.8,2305.0
112.2,1905.0
108.1,1593.0
108.4,2181.0
107.3,2389.0
105.3,2010.0
98.0,1358.0
67.3,1450.0
70.5,1793.0
26.5,1980.0
89.2,1244.0
86.9,1825.0
94.0,1247.0
97.4,1214.0
94.9,1547.0
95.5,1660.0
95.2,1897.0
98.2,2070.0
105.6,1711.0
111.1,2023.0
129.2,1447.0
128.1,1606.0
131.6,1573.0
123.4,2403.0
140.1,1520.0
121.3,2920.0
139.3,1903.0
136.2,2136.0
142.9,1840.0
141.7,2158.0
125.0,3031.0
128.7,1803.0
125.3,1180.0
0.0,0.0
113.6,2161.0
110.0,3403.0
109.0,1567.0
108.6,2343.0
104.0,1825.0
101.0,1764.0
0.0,0.0
78.4,1072.0
76.8,1073.0
81.7,1479.0
42.0,1410.0
10.8,1052.0
48.6,1346.0
69.9,1063.0
73.0,1319.0
78.5,937.0
78.2,1217.0
80.8,1094.0
82.5,1091.0
85.5,984.0
85.9,1071.0
88.5,1302.0
89.4,1393.0
91.2,1570.0
106.8,975.0
110.1,974.0
111.9,1165.0
107.8,1667.0
111.5,1449.0
117.4,1113.0
124.2,1088.0
118.5,1703.0
122.4,1511.0
126.7,1509.0
116.6,2416.0
134.0,1246.0
135.6,1241.0
134.0,1405.0
138.3,1255.0
134.6,1608.0
131.0,1902.0
128.0,2186.0
129.6,2143.0
136.2,1795.0
135.4,1903.0
136.5,1898.0
158.6,1132.0
139.4,2000.0
134.4,2442.0
148.5,1722.0
163.3,1220.0
155.4,1488.0
158.5,1398.0
0.0,0.0
130.8,2941.0
146.4,1945.0
139.9,2328.0
143.6,2114.0
141.5,2245.0
129.3,3156.0
135.7,2645.0
145.2,2011.0
143.2,2123.0
139.3,2372.0
133.3,2827.0
137.1,2503.0
132.0,2914.0
134.2,2699.0
135.0,2569.0
130.4,2968.0
129.6,3016.0
134.4,2501.0
141.1,1832.0
136.3,2191.0
137.3,1930.0
130.7,2564.0
138.3,1594.0
125.3,3082.0
132.7,2015.0
133.8,1711.0
129.0,2252.0
130.9,1802.0
132.5,1105.0
121.6,3066.0
128.3,1588.0
0.0,0.0
124.4,1935.0
121.9,2283.0
120.8,2281.0
118.0,2776.0
116.1,765.0
115.9,2876.0
113.1,911.0
112.3,1922.0
111.0,1743.0
107.0,1701.0
102.1,905.0
99.7,978.0
90.6,746.0
94.7,1125.0
0.0,0.0
0.0,0.0
89.2,1010.0
91.8,1885.0
88.0,1437.0
83.3,1380.0
75.3,1144.0
76.1,1370.0
72.5,1163.0
67.8,1026.0
0.0,0.0
50.2,824.0
56.5,874.0
60.1,789.0
61.0,954.0
66.4,659.0
66.8,747.0
69.4,667.0
71.2,793.0
71.4,1046.0
73.4,948.0
75.6,843.0
77.4,812.0
78.8,831.0
83.2,713.0
84.3,756.0
84.3,937.0
87.8,896.0
90.2,803.0
91.9,960.0
93.3,971.0
96.1,846.0
95.0,1345.0
100.1,919.0
99.8,1110.0
101.5,1088.0
