DATETIME,INBOUND_ALTITUDE,OUTBOUND_ALTITUDE
1980-10-19 19:14:30,1423.0,1330.0
1980-10-21 19:19:33,1284.0,1280.0
1980-10-22 19:22:04,503.0,471.0
1980-10-25 19:29:37,769.0,1089.0
1980-10-27 19:34:39,665.0,1056.0
1980-10-28 19:37:09,1121.0,821.0
1980-10-29 19:39:40,1293.0,1041.0
1980-10-30 19:42:11,0.0,987.0
1980-10-31 19:44:42,1261.0,0.0
1980-11-01 19:47:14,1232.0,870.0
1980-11-02 19:49:45,1240.0,0.0
1980-11-03 19:52:17,1612.0,0.0
1980-11-04 19:54:49,1323.0,0.0
1980-11-05 19:57:21,443.0,436.0
1980-11-06 19:59:54,1279.0,949.0
1980-11-07 20:02:27,670.0,1185.0
1980-11-08 20:05:00,1037.0,1512.0
1980-11-09 20:07:34,0.0,1115.0
1980-11-10 20:10:08,355.0,657.0
1980-11-14 20:20:30,710.0,0.0
1980-11-15 20:23:07,1333.0,1681.0
1980-11-16 20:25:44,2863.0,1216.0
1980-11-17 20:28:22,1582.0,858.0
1980-11-18 20:31:01,1535.0,1033.0
1980-11-19 20:33:40,485.0,1246.0
1980-11-20 20:36:20,0.0,513.0
1980-11-24 20:47:04,543.0,0.0
1980-11-25 20:49:47,541.0,2974.0
1980-11-26 20:52:31,636.0,1700.0
1980-11-27 20:55:14,1113.0,1451.0
1980-11-29 21:00:44,726.0,0.0
1980-12-01 21:06:16,1424.0,2066.0
1980-12-02 21:09:03,836.0,1124.0
1980-12-03 21:11:50,535.0,1945.0
