OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
66.0,5.2
95.2,-17.8
107.9,-10.3
110.9,-26.7
113.4,-18.8
114.8,-46.4
120.1,-6.6
121.8,-7.5
120.6,-39.3
125.3,-18.1
127.3,-0.7
128.2,2.5
129.1,-32.5
134.5,-7.4
135.1,-20.0
0.0,0.0
133.0,-33.2
143.9,-8.9
145.1,-17.5
148.6,-4.2
143.4,-27.6
139.9,-33.8
131.0,-45.2
147.4,-26.3
124.3,-52.4
135.9,-40.7
135.6,-41.1
152.5,-23.1
143.0,-33.8
135.4,-41.4
142.1,-34.9
141.7,-35.3
141.8,-35.0
133.6,-42.7
132.1,-43.9
139.2,-37.0
144.6,-31.6
141.7,-34.0
146.9,-28.2
137.2,-37.1
125.0,-48.0
142.6,-30.7
146.7,-26.0
126.1,-45.4
140.5,-30.7
0.0,0.0
138.5,-30.2
123.3,-45.0
138.6,-28.0
144.9,-19.3
128.4,-37.2
120.8,-44.4
130.5,-30.1
133.9,-24.1
135.2,-20.5
135.9,-17.3
135.0,-16.5
134.0,-15.9
122.8,-31.3
137.5,-0.8
136.3,0.3
125.8,-20.6
129.8,-9.5
129.5,-6.3
132.0,20.8
130.7,17.1
122.2,-13.3
113.1,-29.2
124.3,3.3
119.7,12.8
111.8,-8.1
106.8,-18.7
106.9,21.1
103.2,26.1
97.0,1.0
98.8,17.4
92.5,16.5
84.0,-15.5
80.6,5.3
72.1,9.5
98.1,-7.8
102.0,-11.5
105.4,3.9
110.6,2.6
122.6,-16.8
132.9,-4.8
0.0,0.0
0.0,0.0
140.3,-28.4
0.0,0.0
148.8,-20.2
143.7,-29.6
0.0,0.0
145.3,-29.1
0.0,0.0
144.9,-31.2
131.1,-45.7
0.0,0.0
134.5,-42.2
130.5,-10.8
120.7,-8.6
118.3,-11.1
112.6,-14.5
113.7,-6.3
114.4,29.9
0.0,0.0
103.7,-2.7
97.3,-20.9
90.5,-12.5
94.9,22.2
84.3,15.6
106.2,8.9
112.5,-21.1
112.8,-8.3
